,user_id
0,156-63-2984
1,780-51-7073
2,306-61-1539
3,167-92-6178
4,155-40-9373
5,821-29-9071
6,810-65-7095
7,700-17-8265
8,232-59-8666
9,854-70-5709
10,507-16-9770
11,653-97-1250
12,388-14-4892
13,775-20-8096
14,149-20-3793
15,113-04-2645
16,597-23-6363
17,259-27-3357
18,359-59-8429
19,766-93-9733
20,821-02-0016
21,453-70-5196
22,452-95-7251
23,718-89-0513
24,747-74-5671
25,123-46-0148
26,731-55-4630
27,434-86-7327
28,048-27-3478
29,433-92-2720
30,059-84-2715
31,494-32-7492
32,211-57-6195
33,196-75-9427
34,463-18-2159
35,748-65-3261
36,775-82-6652
37,355-93-0490
38,580-04-5338
39,240-67-2854
40,706-40-2868
41,140-76-1476
42,759-62-7328
43,856-17-1426
44,709-81-6326
45,532-62-0471
46,812-72-4494
47,311-95-5988
48,260-30-6818
49,516-61-3092
50,788-15-0028
51,420-27-9814
52,468-19-0875
53,337-96-3539
54,080-10-4315
55,614-91-7164
56,418-85-0098
57,871-84-3384
58,483-11-6192
59,068-50-7471
60,540-60-8422
61,248-85-2882
62,488-65-9495
63,563-24-6822
64,083-22-2419
65,498-98-2574
66,742-42-0390
67,864-36-5546
68,542-05-7796
69,213-75-4311
70,870-74-2189
71,209-50-2567
72,726-14-8973
73,515-43-7499
74,591-85-5838
75,725-84-1486
76,487-77-6684
77,600-59-0378
78,117-88-5334
79,747-53-9036
80,011-76-6142
81,649-81-6031
82,547-30-7179
83,369-67-8849
84,475-75-7171
85,818-32-9282
86,127-17-0803
87,358-76-0720
88,122-24-4986
89,471-76-8498
90,560-23-9872
91,435-26-5615
92,484-62-9276
93,197-31-6947
94,427-97-4213
95,122-97-4678
96,676-98-4126
97,150-31-9570
98,619-56-8263
99,302-31-9424
