,query_id,user_id,rank
0,8504,492-19-9359,2
1,5696,492-19-9359,25
2,17713,492-19-9359,67
3,19979,492-19-9359,88
4,3510,492-19-9359,63
5,9304,492-19-9359,33
6,1807,492-19-9359,23
7,15046,492-19-9359,91
8,1473,492-19-9359,89
9,3702,492-19-9359,66
10,2495,492-19-9359,44
11,4633,492-19-9359,50
12,15568,492-19-9359,4
13,2331,492-19-9359,22
14,4292,492-19-9359,68
15,16056,492-19-9359,76
16,16768,492-19-9359,75
17,9541,492-19-9359,73
18,6459,492-19-9359,13
19,12926,492-19-9359,23
20,16379,492-19-9359,3
21,9492,492-19-9359,85
22,2849,492-19-9359,44
23,10951,492-19-9359,24
24,10149,492-19-9359,58
25,14678,492-19-9359,22
26,6454,492-19-9359,78
27,13835,492-19-9359,50
28,4714,492-19-9359,71
29,9520,492-19-9359,65
30,14346,492-19-9359,20
31,15202,492-19-9359,1
32,11425,492-19-9359,44
33,737,492-19-9359,90
34,10658,492-19-9359,9
35,2321,492-19-9359,11
36,1008,492-19-9359,26
37,7460,492-19-9359,22
38,16751,492-19-9359,87
39,1457,492-19-9359,74
40,6872,492-19-9359,96
41,6539,492-19-9359,30
42,3916,492-19-9359,35
43,11237,492-19-9359,61
44,12570,492-19-9359,37
45,10788,492-19-9359,66
46,4610,492-19-9359,91
47,14186,492-19-9359,46
48,8983,492-19-9359,28
49,2577,492-19-9359,59
50,7422,492-19-9359,85
51,31,492-19-9359,99
52,9891,492-19-9359,84
53,17120,492-19-9359,94
54,10116,492-19-9359,31
55,17790,492-19-9359,68
56,11271,492-19-9359,45
57,15860,492-19-9359,70
58,10092,492-19-9359,6
59,2227,492-19-9359,96
60,7694,492-19-9359,56
61,2849,492-19-9359,42
62,11059,492-19-9359,76
63,671,492-19-9359,72
64,5890,492-19-9359,14
65,18845,492-19-9359,5
66,10696,492-19-9359,32
67,5939,492-19-9359,63
68,8978,492-19-9359,75
69,19996,492-19-9359,84
70,1136,492-19-9359,25
71,7782,492-19-9359,68
72,10979,492-19-9359,44
73,494,492-19-9359,2
74,19163,492-19-9359,91
75,9395,492-19-9359,17
76,7424,492-19-9359,41
77,7026,492-19-9359,11
78,2190,492-19-9359,94
79,34,492-19-9359,21
80,5642,492-19-9359,14
81,18594,492-19-9359,40
82,10308,492-19-9359,28
83,10323,492-19-9359,92
84,11955,492-19-9359,4
85,9132,492-19-9359,94
86,1275,492-19-9359,29
87,6105,492-19-9359,67
88,6188,492-19-9359,19
89,14626,492-19-9359,75
90,16142,492-19-9359,80
91,172,492-19-9359,21
92,9225,492-19-9359,8
93,14849,492-19-9359,86
94,8741,492-19-9359,11
95,15355,492-19-9359,30
96,6489,492-19-9359,62
97,8201,492-19-9359,64
98,15575,492-19-9359,96
99,14401,492-19-9359,27
100,1957,492-19-9359,37
101,2993,492-19-9359,57
102,1414,492-19-9359,38
103,10183,492-19-9359,0
104,14834,492-19-9359,31
105,3097,492-19-9359,58
106,11985,492-19-9359,97
107,17641,492-19-9359,3
108,15871,492-19-9359,90
109,434,492-19-9359,1
110,2934,492-19-9359,60
111,19014,492-19-9359,18
112,19904,492-19-9359,77
113,14031,492-19-9359,8
114,19771,492-19-9359,0
115,11188,492-19-9359,12
116,11060,492-19-9359,17
117,18836,492-19-9359,7
118,8101,492-19-9359,97
119,9,492-19-9359,18
120,12968,492-19-9359,47
121,458,492-19-9359,10
122,19509,492-19-9359,48
123,2561,492-19-9359,91
124,8297,492-19-9359,55
125,8788,492-19-9359,89
126,11166,492-19-9359,93
127,8648,492-19-9359,39
128,19891,492-19-9359,73
129,5624,492-19-9359,74
130,9967,492-19-9359,6
131,15563,492-19-9359,44
132,15967,492-19-9359,86
133,7118,492-19-9359,34
134,15525,492-19-9359,62
135,12211,492-19-9359,7
136,2351,492-19-9359,17
137,11916,492-19-9359,89
138,18237,492-19-9359,3
139,4058,492-19-9359,74
140,15983,492-19-9359,73
141,17389,492-19-9359,97
142,15819,492-19-9359,88
143,15917,492-19-9359,94
144,10689,492-19-9359,14
145,16615,492-19-9359,58
146,2285,492-19-9359,59
147,8074,492-19-9359,75
148,4154,492-19-9359,98
149,9175,492-19-9359,37
150,2945,492-19-9359,61
151,4597,492-19-9359,42
152,18159,492-19-9359,94
153,19742,492-19-9359,97
154,11191,492-19-9359,26
155,3643,492-19-9359,43
156,7866,492-19-9359,98
157,16740,492-19-9359,50
158,13833,492-19-9359,70
159,15066,492-19-9359,47
160,8256,492-19-9359,56
161,8230,492-19-9359,63
162,8113,492-19-9359,12
163,15003,492-19-9359,94
164,18767,492-19-9359,56
165,11231,492-19-9359,42
166,810,492-19-9359,94
167,15695,492-19-9359,29
168,6731,492-19-9359,51
169,10460,492-19-9359,50
170,10196,492-19-9359,33
171,15684,492-19-9359,51
172,1814,492-19-9359,10
173,10822,492-19-9359,96
174,10319,492-19-9359,93
175,12936,492-19-9359,67
176,6164,492-19-9359,94
177,7277,492-19-9359,4
178,11785,492-19-9359,61
179,15470,492-19-9359,89
180,12771,492-19-9359,79
181,19048,492-19-9359,10
182,3653,492-19-9359,64
183,15196,492-19-9359,56
184,16486,492-19-9359,29
185,3544,492-19-9359,10
186,17155,492-19-9359,81
187,2421,492-19-9359,77
188,14675,492-19-9359,51
189,3385,492-19-9359,27
190,7900,492-19-9359,40
191,14860,492-19-9359,98
192,7141,492-19-9359,23
