user_id,top1,top2,top3,top4,top5
158-86-3113,808,393,40,633,426
241-10-5564,117,56,130,75,153
338-27-8772,854,1786,1283,1646,1610
495-50-0640,45,593,717,919,508
710-35-1509,367,313,306,1999,1728
491-06-8879,32,79,455,52,295
309-45-7913,949,1337,1460,133,5
429-46-1809,50,24,46,179,7
076-95-1602,128,46,306,63,255
731-61-3487,0,1971,821,1442,193
656-84-5669,959,751,1463,477,1012
484-63-1002,1056,877,950,1674,1722
705-60-3108,1846,438,824,199,330
841-19-3746,128,46,255,179,298
688-88-2066,937,1187,559,887,1847
857-58-7648,185,798,22,1680,1526
478-34-6113,50,71,324,523,7
467-06-2796,333,610,1512,717,919
162-93-3932,431,34,355,357,253
738-84-2766,737,856,660,441,155
591-98-3054,334,316,330,199,424
603-85-9680,249,52,79,262,14
554-33-3217,46,179,128,248,63
888-50-5798,223,1911,115,931,968
703-08-8182,45,28,245,3,546
727-71-6233,1157,341,901,1696,197
492-61-8497,155,441,16,660,132
265-73-1112,649,1025,769,849,40
023-80-7636,461,24,738,333,758
603-99-4555,130,337,493,432,262
531-56-1365,16,155,660,441,737
205-67-6640,1036,1657,1538,307,673
352-39-2411,349,84,127,202,175
169-16-7935,133,5,330,199,230
460-82-6115,1989,1754,1357,1008,1745
838-63-5914,7,5,9,6,4
053-20-8608,199,139,330,94,221
833-79-0469,1203,426,769,393,1074
466-80-4734,175,202,237,84,178
235-28-2599,1534,581,1171,683,1946
337-40-6139,1681,32,66,91,79
572-89-4753,1462,985,272,1579,312
013-75-9437,175,434,333,202,332
879-45-4229,24,610,333,352,515
186-01-1390,1553,1957,1465,941,1537
615-33-6582,221,133,89,145,139
265-20-4620,416,894,1124,884,1374
140-25-5514,201,28,240,3,24
773-15-6228,199,253,330,145,9
444-36-5080,155,737,441,669,856
004-34-6423,500,1550,1954,159,739
074-28-7403,1852,61,71,50,176
741-53-4636,202,175,434,791,868
636-74-8105,1124,437,884,473,1995
354-67-7133,1925,419,1331,883,272
568-85-1996,1828,1955,272,473,1124
257-06-7050,1686,1899,1241,151,949
504-32-8038,1693,1403,419,1748,1811
530-71-8585,84,178,175,127,20
055-22-1414,950,1674,1614,440,877
852-55-8946,367,785,636,306,1978
408-64-4190,90,117,87,153,25
515-97-0355,1171,1534,1910,726,717
836-49-1272,1462,333,1530,985,237
708-81-0834,669,441,16,1659,660
180-36-9589,1202,1959,1405,1673,1142
299-66-9285,25,46,24,130,128
753-79-5397,272,1878,60,1373,1721
588-09-6037,1508,669,1492,1351,1768
380-02-1044,1554,1266,324,198,7
815-35-0307,319,547,700,121,995
296-32-1354,905,748,1998,1075,1042
270-86-9693,799,796,1798,888,1530
734-57-2972,1782,871,1692,1189,623
736-35-7016,233,491,251,364,679
899-05-5673,187,355,166,40,6
489-84-7651,606,372,641,1518,793
634-47-2099,84,75,25,130,56
527-02-1653,135,586,1374,1878,1860
264-10-8932,14,32,52,38,34
435-47-6803,508,45,240,3,546
198-45-9365,339,1424,905,755,396
759-91-7240,313,160,222,257,306
869-36-8319,50,108,171,324,7
317-24-7271,266,313,306,580,687
223-79-4917,513,1798,483,1738,888
364-32-6181,1891,1756,960,1925,272
528-06-2529,145,34,199,330,253
093-92-4411,1748,660,132,737,669
357-91-8076,534,413,901,1508,978
072-56-5047,1312,18,259,1603,365
737-73-5950,304,1422,397,815,752
767-94-1999,1702,1312,1499,479,259
165-90-5711,71,50,7,89,61
077-22-1448,79,455,14,497,295
869-47-5400,737,272,155,1047,1768
899-29-8267,1426,1532,520,1965,1852
370-58-6360,1142,14,295,1202,1011
757-91-9133,183,1379,911,1912,118
824-51-6473,128,6,83,25,121
