user_id,top1,top2,top3,top4,top5
622-47-5757,47.0,47.0,47.0,47.0,47.0
754-30-0085,79.0,78.77,78.7,78.68,78.0
179-83-5502,48.75,48.28,48.0,48.0,48.0
670-94-7179,95.43,95.26,95.2,93.41,92.06
641-17-3786,91.0,91.0,91.0,91.0,91.0
013-27-8029,77.19,77.01,76.94,76.7,76.55
416-94-1343,99.0,99.0,99.0,99.0,99.0
710-27-0295,98.0,98.0,98.0,98.0,98.0
555-35-1174,47.0,47.0,47.0,47.0,47.0
502-97-3801,49.0,49.0,49.0,49.0,49.0
652-15-3922,78.0,78.0,78.0,78.0,78.0
652-01-5925,97.0,95.63,95.0,95.0,95.0
113-49-7990,75.86,75.79,75.78,75.47,75.11
173-63-9564,98.54,98.54,98.54,98.54,98.54
294-46-8953,49.0,49.0,49.0,49.0,49.0
168-53-2113,78.65,78.62,78.39,78.18,78.09
826-16-0932,96.73,96.6,96.5,96.49,96.43
770-20-7307,75.26,75.19,75.15,75.15,75.15
622-67-8791,74.62,74.43,73.08,72.69,72.56
239-43-1472,97.0,97.0,97.0,97.0,97.0
693-96-8692,48.14,47.95,47.91,47.83,47.76
201-21-6231,99.0,99.0,99.0,99.0,99.0
579-77-8407,96.0,95.85,95.49,95.46,95.4
636-19-5844,79.0,79.0,79.0,79.0,79.0
197-16-4103,98.84,97.61,97.52,96.08,95.31
786-59-6693,76.37,76.29,76.23,76.19,76.19
839-68-6409,49.0,49.0,49.0,49.0,49.0
367-25-0959,79.0,79.0,79.0,79.0,79.0
295-94-2006,73.0,73.0,73.0,73.0,73.0
679-01-7744,46.92,45.51,45.16,45.02,44.85
506-30-3081,76.7,76.46,76.46,76.0,76.0
458-56-6664,47.33,47.29,47.03,46.53,46.49
645-19-9412,49.0,49.0,49.0,49.0,49.0
742-31-9612,93.44,93.33,93.24,92.67,91.16
156-80-6326,88.95,87.0,87.0,87.0,87.0
498-38-7908,98.0,98.0,98.0,96.22,95.73
678-45-2445,49.0,49.0,49.0,49.0,49.0
664-58-8895,78.0,78.0,78.0,78.0,78.0
440-64-0769,98.0,98.0,98.0,98.0,98.0
453-31-9504,79.0,79.0,78.12,77.51,77.21
007-36-1962,97.0,97.0,97.0,97.0,97.0
755-79-4584,46.45,45.46,45.46,45.27,45.24
277-43-6305,97.0,97.0,97.0,97.0,96.46
100-57-6374,97.63,97.44,97.34,97.28,97.25
343-73-6976,77.67,76.9,76.08,76.0,76.0
540-80-0986,99.0,99.0,98.82,98.73,98.67
009-30-5578,91.34,89.86,89.46,89.13,87.45
621-69-6659,48.5,48.49,48.35,48.08,47.77
642-22-6690,48.0,48.0,48.0,48.0,48.0
640-33-2467,92.0,92.0,92.0,92.0,92.0
410-70-8973,73.82,73.41,72.65,72.28,72.23
832-75-0592,99.0,98.1,98.0,97.96,97.83
057-48-3761,98.0,98.0,98.0,98.0,98.0
272-23-6436,46.96,46.33,45.93,45.93,45.72
156-10-5724,47.1,46.99,46.91,46.85,46.85
686-98-2531,98.39,97.33,97.07,94.39,94.02
264-93-5832,98.19,98.12,97.5,97.32,97.3
385-73-4850,79.0,78.94,78.94,78.88,78.65
164-18-3703,45.0,45.0,45.0,45.0,45.0
777-38-6910,78.0,78.0,78.0,78.0,78.0
475-01-4542,91.03,91.03,90.28,89.41,88.44
470-80-8173,98.0,98.0,98.0,98.0,98.0
332-04-0508,99.0,98.73,98.07,98.07,98.01
470-43-1957,76.21,76.06,75.34,75.34,74.98
853-68-9432,79.0,79.0,79.0,79.0,79.0
383-65-5725,97.74,97.62,97.34,96.78,96.34
773-21-1429,97.98,97.33,96.99,96.93,96.7
243-23-4752,99.0,99.0,98.38,98.32,98.0
812-77-6336,97.0,97.0,97.0,93.27,92.81
212-46-1403,96.41,94.0,93.41,93.16,92.0
859-05-2141,48.0,48.0,48.0,48.0,48.0
231-99-3915,96.41,96.0,95.8,95.04,94.68
131-46-5573,99.0,99.0,99.0,99.0,97.75
234-62-5261,97.84,97.7,96.55,96.09,96.07
398-58-5967,97.0,97.0,97.0,97.0,97.0
287-38-2077,97.53,97.22,97.19,96.96,96.42
529-44-7045,99.0,99.0,99.0,99.0,99.0
015-71-0305,49.0,49.0,49.0,49.0,45.84
120-05-2504,79.0,79.0,79.0,79.0,79.0
462-99-3397,99.0,98.06,97.52,97.32,97.0
263-56-4144,99.0,99.0,99.0,99.0,99.0
748-26-5419,77.59,76.45,75.52,75.08,75.0
741-05-1182,88.0,88.0,88.0,88.0,88.0
307-19-8307,78.0,78.0,78.0,78.0,78.0
330-25-6856,98.55,97.83,97.75,97.71,97.7
519-48-7796,97.07,97.0,97.0,97.0,97.0
495-43-2458,47.0,47.0,47.0,47.0,47.0
453-76-3362,46.79,46.0,45.8,45.65,45.33
329-93-6390,82.85,82.3,81.05,80.72,79.84
087-30-0704,98.0,98.0,98.0,98.0,98.0
146-97-3322,78.56,77.22,77.0,77.0,77.0
116-99-4729,99.0,99.0,99.0,99.0,99.0
411-17-4908,47.89,47.8,47.37,47.3,47.11
807-96-8342,49.0,48.08,48.0,48.0,48.0
008-24-1685,78.0,78.0,78.0,78.0,77.44
153-27-5811,76.0,76.0,76.0,76.0,76.0
843-17-7917,77.26,75.74,75.56,75.0,75.0
333-20-1345,45.47,44.16,44.16,43.95,43.76
732-10-8959,76.0,76.0,76.0,76.0,76.0
707-13-9748,98.0,98.0,98.0,98.0,98.0
