,user_id
0,373-27-7969
1,251-45-7720
2,161-21-5932
3,337-41-9912
4,865-52-7421
5,416-72-2908
6,322-45-2700
7,374-16-7021
8,430-86-6573
9,810-94-7972
10,156-56-6582
11,091-44-1474
12,039-01-9957
13,103-04-6390
14,290-63-4255
15,485-46-6726
16,318-93-3605
17,469-15-7201
18,351-23-6530
19,689-24-5420
20,492-58-1837
21,198-24-9658
22,527-99-2514
23,449-96-1082
24,829-77-0946
25,838-46-2305
26,025-04-3713
27,569-64-3009
28,439-65-6137
29,615-41-3917
30,665-50-3275
31,038-59-4053
32,642-55-2186
33,820-76-6321
34,084-98-4324
35,001-73-8921
36,344-32-2262
37,142-32-0520
38,636-52-0566
39,145-10-9678
40,363-42-9720
41,482-70-9510
42,711-95-5618
43,664-39-3512
44,353-42-5197
45,143-73-3356
46,304-12-5300
47,820-44-6295
48,275-64-7338
49,554-54-8904
50,542-32-4930
51,714-26-3908
52,018-60-4574
53,134-99-0156
54,390-39-8641
55,493-46-1182
56,126-26-3877
57,565-94-1588
58,679-66-3771
59,848-35-2386
60,756-01-9902
61,206-77-5952
62,842-15-1803
63,070-95-0807
64,810-56-0444
65,311-08-8758
66,761-39-3001
67,514-37-9263
68,388-35-3088
69,252-53-6823
70,289-25-1167
71,383-47-7532
72,230-10-9402
73,548-64-4716
74,501-42-3931
75,623-89-4024
76,352-52-4477
77,646-11-2780
78,853-03-9330
79,740-97-4023
80,473-42-1020
81,620-41-4683
82,700-58-6864
83,177-12-9897
84,706-71-6564
85,404-77-6887
86,311-08-1981
87,346-83-7176
88,720-54-4294
89,854-80-6782
90,440-22-2863
91,542-02-7432
92,619-01-7027
93,775-41-2060
94,316-01-3128
95,004-75-0788
96,876-29-2533
97,860-91-8394
98,224-74-0761
99,215-91-2584
