,query_id,user_id,rank
0,1799,659-43-0254,76
1,866,659-43-0254,80
2,1549,659-43-0254,35
3,1269,659-43-0254,44
4,7,659-43-0254,62
5,1735,659-43-0254,33
6,1503,659-43-0254,20
7,1632,659-43-0254,98
8,1640,659-43-0254,8
9,288,659-43-0254,67
10,402,659-43-0254,6
11,834,659-43-0254,28
12,1372,659-43-0254,70
13,1846,659-43-0254,95
14,1213,659-43-0254,43
15,1212,659-43-0254,50
16,1074,659-43-0254,30
17,803,659-43-0254,48
18,975,659-43-0254,2
19,1352,659-43-0254,46
20,1917,659-43-0254,21
21,1303,659-43-0254,20
22,650,659-43-0254,87
23,1138,659-43-0254,65
24,1678,659-43-0254,90
25,1674,659-43-0254,10
26,1357,659-43-0254,27
27,868,659-43-0254,53
28,316,659-43-0254,23
29,1773,659-43-0254,63
30,362,659-43-0254,49
31,1191,659-43-0254,21
32,858,659-43-0254,39
33,1627,659-43-0254,51
34,237,659-43-0254,34
35,1233,659-43-0254,99
36,598,659-43-0254,98
37,581,659-43-0254,18
38,473,659-43-0254,36
39,1323,659-43-0254,31
40,891,659-43-0254,39
41,110,659-43-0254,23
42,790,659-43-0254,50
43,724,659-43-0254,23
44,1770,659-43-0254,55
45,439,659-43-0254,66
46,1897,659-43-0254,81
47,789,659-43-0254,74
48,1234,659-43-0254,89
49,1601,659-43-0254,81
50,945,659-43-0254,43
51,241,659-43-0254,78
52,448,659-43-0254,76
53,1842,659-43-0254,76
54,1449,659-43-0254,43
55,880,659-43-0254,90
56,1606,659-43-0254,40
57,372,659-43-0254,44
58,1231,659-43-0254,53
59,159,659-43-0254,59
60,1249,659-43-0254,4
61,1968,659-43-0254,18
62,387,659-43-0254,81
63,1247,659-43-0254,49
64,1482,659-43-0254,99
65,1883,659-43-0254,69
66,788,659-43-0254,28
67,1007,659-43-0254,1
68,456,659-43-0254,17
69,1414,659-43-0254,75
70,1456,659-43-0254,42
71,1214,659-43-0254,82
72,510,659-43-0254,70
73,789,659-43-0254,75
74,1173,659-43-0254,50
75,549,659-43-0254,18
76,1125,659-43-0254,67
77,115,659-43-0254,11
78,200,659-43-0254,58
79,1203,659-43-0254,75
80,457,659-43-0254,48
81,792,659-43-0254,11
82,1654,659-43-0254,36
83,971,659-43-0254,48
84,972,659-43-0254,89
85,767,659-43-0254,30
86,1671,659-43-0254,74
87,1622,659-43-0254,42
88,720,659-43-0254,54
89,1371,659-43-0254,15
90,1850,659-43-0254,90
91,1583,659-43-0254,98
92,979,659-43-0254,68
93,343,659-43-0254,9
94,439,659-43-0254,78
95,1123,659-43-0254,49
96,889,659-43-0254,34
97,1515,659-43-0254,6
98,568,659-43-0254,10
99,723,659-43-0254,61
100,763,659-43-0254,24
101,562,659-43-0254,20
102,23,659-43-0254,14
103,348,659-43-0254,83
104,108,659-43-0254,56
105,1306,659-43-0254,69
106,998,659-43-0254,65
107,746,659-43-0254,95
108,38,659-43-0254,4
109,647,659-43-0254,66
110,1506,659-43-0254,52
111,566,659-43-0254,79
112,6,659-43-0254,70
113,279,659-43-0254,5
114,581,659-43-0254,91
115,829,659-43-0254,87
116,649,659-43-0254,9
117,549,659-43-0254,68
118,921,659-43-0254,70
119,184,659-43-0254,63
120,201,659-43-0254,79
121,469,659-43-0254,81
122,571,659-43-0254,53
123,74,659-43-0254,24
124,937,659-43-0254,12
125,1127,659-43-0254,92
126,269,659-43-0254,20
127,1170,659-43-0254,77
128,615,659-43-0254,49
129,926,659-43-0254,20
130,1017,659-43-0254,38
131,1504,659-43-0254,64
132,515,659-43-0254,50
133,1528,811-96-0965,99
134,288,811-96-0965,30
135,144,811-96-0965,85
136,1227,811-96-0965,10
137,1301,811-96-0965,96
138,774,811-96-0965,28
139,113,811-96-0965,10
140,1462,811-96-0965,94
141,1721,811-96-0965,23
142,279,811-96-0965,46
143,181,811-96-0965,5
144,1459,811-96-0965,25
145,257,811-96-0965,90
146,1082,811-96-0965,50
147,1945,811-96-0965,36
148,686,811-96-0965,36
149,507,811-96-0965,41
150,396,811-96-0965,63
151,84,811-96-0965,14
152,1189,811-96-0965,44
153,343,811-96-0965,24
154,1458,811-96-0965,54
155,108,811-96-0965,8
156,1611,811-96-0965,43
157,1694,811-96-0965,34
158,846,811-96-0965,7
159,125,811-96-0965,15
160,119,811-96-0965,0
161,1152,811-96-0965,45
162,364,811-96-0965,43
163,784,811-96-0965,39
164,988,811-96-0965,17
165,603,811-96-0965,81
166,1584,811-96-0965,86
167,334,811-96-0965,19
168,1628,811-96-0965,96
169,1205,811-96-0965,35
170,166,811-96-0965,59
171,64,811-96-0965,71
172,519,811-96-0965,31
173,1525,811-96-0965,54
174,1733,811-96-0965,75
175,1465,811-96-0965,56
176,1627,811-96-0965,94
177,935,811-96-0965,4
178,491,811-96-0965,78
179,315,811-96-0965,59
180,1845,811-96-0965,52
181,550,811-96-0965,0
182,1031,811-96-0965,16
183,422,811-96-0965,3
184,1759,811-96-0965,21
185,772,811-96-0965,99
186,508,811-96-0965,24
187,631,811-96-0965,27
188,1471,811-96-0965,11
189,361,811-96-0965,2
190,873,811-96-0965,49
191,1266,811-96-0965,0
192,42,811-96-0965,2
193,989,811-96-0965,47
194,1457,811-96-0965,10
195,1981,811-96-0965,55
196,728,811-96-0965,29
197,1699,811-96-0965,20
198,1187,811-96-0965,30
199,103,811-96-0965,71
200,1973,811-96-0965,39
201,1370,811-96-0965,45
202,584,811-96-0965,0
203,159,811-96-0965,2
204,1069,811-96-0965,31
205,191,811-96-0965,81
206,1312,073-86-1638,84
207,1215,073-86-1638,57
208,771,073-86-1638,39
209,1965,073-86-1638,34
210,768,073-86-1638,26
211,631,073-86-1638,14
212,1535,073-86-1638,70
213,1795,073-86-1638,82
214,157,073-86-1638,44
215,1445,073-86-1638,76
216,701,073-86-1638,13
217,593,073-86-1638,32
218,689,073-86-1638,64
219,1020,073-86-1638,42
220,82,073-86-1638,98
221,726,073-86-1638,82
222,1935,073-86-1638,22
223,490,073-86-1638,32
224,91,073-86-1638,43
225,1741,073-86-1638,52
226,1637,073-86-1638,73
227,1479,073-86-1638,40
228,564,073-86-1638,20
229,838,073-86-1638,83
230,548,073-86-1638,78
231,1130,073-86-1638,11
232,1624,073-86-1638,85
233,1222,073-86-1638,21
234,396,073-86-1638,66
235,766,073-86-1638,86
236,1985,073-86-1638,89
237,1637,073-86-1638,0
238,1017,073-86-1638,51
239,1000,073-86-1638,26
240,1538,073-86-1638,83
241,1440,073-86-1638,84
242,1386,073-86-1638,43
243,1652,073-86-1638,98
244,974,073-86-1638,16
245,1954,073-86-1638,30
246,727,073-86-1638,81
247,514,073-86-1638,90
248,1818,073-86-1638,65
249,1112,073-86-1638,87
250,734,073-86-1638,23
251,672,073-86-1638,61
252,796,073-86-1638,93
253,1374,073-86-1638,85
254,105,073-86-1638,8
255,1329,073-86-1638,58
256,855,073-86-1638,79
257,367,073-86-1638,51
258,1262,073-86-1638,9
259,1324,073-86-1638,83
260,816,073-86-1638,74
261,1126,073-86-1638,54
262,1164,073-86-1638,32
263,125,073-86-1638,22
264,986,073-86-1638,15
265,354,073-86-1638,83
266,599,073-86-1638,47
267,275,073-86-1638,87
268,864,073-86-1638,12
269,832,073-86-1638,68
270,1295,073-86-1638,94
271,834,073-86-1638,24
272,158,073-86-1638,48
273,1114,073-86-1638,13
274,1646,073-86-1638,5
275,1729,073-86-1638,9
276,853,073-86-1638,54
277,1746,073-86-1638,77
278,247,073-86-1638,93
279,190,073-86-1638,68
280,1355,073-86-1638,76
281,1793,073-86-1638,61
282,205,073-86-1638,37
283,644,073-86-1638,43
284,505,073-86-1638,6
285,1760,073-86-1638,92
286,987,073-86-1638,47
287,1856,073-86-1638,14
288,1237,073-86-1638,43
289,338,073-86-1638,26
290,1862,073-86-1638,64
291,270,073-86-1638,99
292,1563,073-86-1638,89
293,1541,073-86-1638,2
294,1034,073-86-1638,64
295,1338,073-86-1638,26
296,1557,073-86-1638,44
297,474,073-86-1638,50
298,990,073-86-1638,45
299,1391,073-86-1638,95
300,1301,073-86-1638,67
301,1788,073-86-1638,81
302,619,073-86-1638,0
303,266,073-86-1638,45
304,1415,073-86-1638,76
305,1739,073-86-1638,35
306,1888,073-86-1638,51
307,1661,073-86-1638,67
308,17,073-86-1638,3
309,640,073-86-1638,92
310,173,073-86-1638,39
311,1873,073-86-1638,44
312,1415,073-86-1638,71
313,997,073-86-1638,7
314,1657,073-86-1638,89
315,230,073-86-1638,67
316,567,073-86-1638,76
317,1597,073-86-1638,99
318,1320,073-86-1638,21
319,1445,073-86-1638,0
320,654,073-86-1638,8
321,923,073-86-1638,92
322,1547,073-86-1638,92
323,1152,073-86-1638,14
324,1738,073-86-1638,94
325,1554,073-86-1638,99
326,1861,073-86-1638,21
327,764,073-86-1638,37
328,479,073-86-1638,72
329,811,073-86-1638,15
330,1367,073-86-1638,77
331,1080,073-86-1638,95
332,972,073-86-1638,72
333,1666,073-86-1638,29
334,1153,073-86-1638,14
335,968,073-86-1638,31
336,1172,073-86-1638,98
337,295,073-86-1638,53
338,659,073-86-1638,0
339,359,073-86-1638,95
340,710,073-86-1638,99
341,966,073-86-1638,7
342,1574,073-86-1638,13
343,1611,073-86-1638,73
344,679,073-86-1638,44
345,1398,073-86-1638,7
346,216,073-86-1638,31
347,1568,073-86-1638,57
348,1236,073-86-1638,47
349,325,073-86-1638,62
350,1700,073-86-1638,73
351,978,073-86-1638,62
352,1684,073-86-1638,27
353,1353,073-86-1638,2
354,1885,073-86-1638,99
355,1332,073-86-1638,53
356,1887,073-86-1638,11
357,201,073-86-1638,70
358,572,073-86-1638,28
359,799,073-86-1638,26
360,438,073-86-1638,23
361,1351,073-86-1638,20
362,450,073-86-1638,61
363,1871,073-86-1638,98
364,1231,073-86-1638,64
365,1420,073-86-1638,65
366,590,073-86-1638,35
367,1703,073-86-1638,31
368,186,073-86-1638,91
369,1905,073-86-1638,55
370,675,073-86-1638,68
371,970,073-86-1638,68
372,769,073-86-1638,70
373,1212,073-86-1638,43
374,661,073-86-1638,3
375,78,073-86-1638,88
376,78,073-86-1638,76
377,894,073-86-1638,47
378,234,073-86-1638,46
379,52,073-86-1638,80
380,234,073-86-1638,8
